"";"1";"2";"3";"4";"5";"6";"7";"8"
"106078";0,0982142857142857;0,133928571428571;0,0863095238095238;0,181547619047619;0,12202380952381;0,157738095238095;0,145833333333333;0,0744047619047619
"110534";0,126923076923077;0,126923076923077;0,0961538461538462;0,111538461538462;0,173076923076923;0,111538461538462;0,142307692307692;0,111538461538462
"110539";0,105072463768116;0,0905797101449275;0,134057971014493;0,119565217391304;0,148550724637681;0,177536231884058;0,0905797101449275;0,134057971014493
"110544";0,0762195121951219;0,149390243902439;0,149390243902439;0,100609756097561;0,0762195121951219;0,11280487804878;0,210365853658537;0,125
"111906";0,102459016393443;0,200819672131148;0,118852459016393;0,118852459016393;0,118852459016393;0,102459016393443;0,118852459016393;0,118852459016393
"111954";0,109649122807018;0,12719298245614;0,12719298245614;0,144736842105263;0,109649122807018;0,12719298245614;0,109649122807018;0,144736842105263
"112014";0,162735849056604;0,162735849056604;0,106132075471698;0,106132075471698;0,0589622641509434;0,125;0,0966981132075472;0,181603773584906
"112030";0,132142857142857;0,103571428571429;0,103571428571429;0,0892857142857143;0,117857142857143;0,117857142857143;0,189285714285714;0,146428571428571
"112031";0,123333333333333;0,0833333333333333;0,11;0,123333333333333;0,123333333333333;0,136666666666667;0,15;0,15
"112040";0,147590361445783;0,0873493975903614;0,159638554216867;0,135542168674699;0,123493975903614;0,147590361445783;0,0993975903614458;0,0993975903614458
"112053";0,115168539325843;0,0814606741573034;0,103932584269663;0,137640449438202;0,137640449438202;0,115168539325843;0,115168539325843;0,193820224719101
"112057";0,178571428571429;0,115079365079365;0,0992063492063492;0,130952380952381;0,130952380952381;0,0992063492063492;0,130952380952381;0,115079365079365
"112072";0,071078431372549;0,149509803921569;0,129901960784314;0,139705882352941;0,0906862745098039;0,227941176470588;0,0808823529411765;0,110294117647059
"112079";0,107758620689655;0,125;0,125;0,107758620689655;0,107758620689655;0,142241379310345;0,176724137931034;0,107758620689655
"112122";0,129464285714286;0,147321428571429;0,147321428571429;0,111607142857143;0,111607142857143;0,129464285714286;0,111607142857143;0,111607142857143
"112258";0,126288659793814;0,0850515463917526;0,188144329896907;0,0850515463917526;0,146907216494845;0,105670103092784;0,126288659793814;0,13659793814433
"112295";0,148550724637681;0,0905797101449275;0,134057971014493;0,134057971014493;0,134057971014493;0,0905797101449275;0,148550724637681;0,119565217391304
"112346";0,0917721518987342;0,15506329113924;0,0917721518987342;0,180379746835443;0,129746835443038;0,0791139240506329;0,15506329113924;0,117088607594937
"112348";0,0732323232323232;0,164141414141414;0,194444444444444;0,174242424242424;0,0833333333333333;0,0732323232323232;0,143939393939394;0,0934343434343434
"112356";0,122282608695652;0,0896739130434783;0,10054347826087;0,220108695652174;0,111413043478261;0,078804347826087;0,122282608695652;0,154891304347826
"112435";0,100694444444444;0,114583333333333;0,114583333333333;0,184027777777778;0,100694444444444;0,15625;0,128472222222222;0,100694444444444
"114432";0,134259259259259;0,115740740740741;0,115740740740741;0,115740740740741;0,115740740740741;0,171296296296296;0,115740740740741;0,115740740740741
"114435";0,107142857142857;0,12012987012987;0,12012987012987;0,107142857142857;0,146103896103896;0,172077922077922;0,12012987012987;0,107142857142857
"114444";0,109848484848485;0,125;0,125;0,0946969696969697;0,125;0,185606060606061;0,109848484848485;0,125
"114454";0,0833333333333333;0,136666666666667;0,123333333333333;0,15;0,0966666666666667;0,163333333333333;0,11;0,136666666666667
"114460";0,097972972972973;0,111486486486486;0,192567567567568;0,097972972972973;0,097972972972973;0,179054054054054;0,097972972972973;0,125
"114471";0,100806451612903;0,100806451612903;0,149193548387097;0,133064516129032;0,116935483870968;0,165322580645161;0,100806451612903;0,133064516129032
"114475";0,136792452830189;0,136792452830189;0,117924528301887;0,117924528301887;0,117924528301887;0,117924528301887;0,117924528301887;0,136792452830189
"114476";0,165322580645161;0,100806451612903;0,100806451612903;0,116935483870968;0,100806451612903;0,19758064516129;0,100806451612903;0,116935483870968
"114487";0,12890625;0,12890625;0,09765625;0,12890625;0,12890625;0,17578125;0,11328125;0,09765625
"114493";0,100806451612903;0,100806451612903;0,100806451612903;0,116935483870968;0,165322580645161;0,116935483870968;0,100806451612903;0,19758064516129
